source,destination
"Autauga, Alabama","Autauga, Alabama"
"Autauga, Alabama","Chilton, Alabama"
"Autauga, Alabama","Dallas, Alabama"
"Autauga, Alabama","Elmore, Alabama"
"Autauga, Alabama","Lowndes, Alabama"
"Autauga, Alabama","Montgomery, Alabama"
"Baldwin, Alabama","Baldwin, Alabama"
"Baldwin, Alabama","Clarke, Alabama"
"Baldwin, Alabama","Escambia, Alabama"
"Baldwin, Alabama","Mobile, Alabama"
"Baldwin, Alabama","Monroe, Alabama"
"Baldwin, Alabama","Washington, Alabama"
"Baldwin, Alabama","Escambia, Florida"
"Barbour, Alabama","Barbour, Alabama"
"Barbour, Alabama","Bullock, Alabama"
"Barbour, Alabama","Dale, Alabama"
"Barbour, Alabama","Henry, Alabama"
"Barbour, Alabama","Pike, Alabama"
"Barbour, Alabama","Russell, Alabama"
"Barbour, Alabama","Clay, Georgia"
"Barbour, Alabama","Quitman, Georgia"
"Barbour, Alabama","Stewart, Georgia"
"Bibb, Alabama","Bibb, Alabama"
"Bibb, Alabama","Chilton, Alabama"
"Bibb, Alabama","Hale, Alabama"
"Bibb, Alabama","Jefferson, Alabama"
"Bibb, Alabama","Perry, Alabama"
"Bibb, Alabama","Shelby, Alabama"
"Bibb, Alabama","Tuscaloosa, Alabama"
"Blount, Alabama","Blount, Alabama"
"Blount, Alabama","Cullman, Alabama"
"Blount, Alabama","Etowah, Alabama"
"Blount, Alabama","Jefferson, Alabama"
"Blount, Alabama","Marshall, Alabama"
"Blount, Alabama","St. Clair, Alabama"
"Blount, Alabama","Walker, Alabama"
"Bullock, Alabama","Barbour, Alabama"
"Bullock, Alabama","Bullock, Alabama"
"Bullock, Alabama","Macon, Alabama"
"Bullock, Alabama","Montgomery, Alabama"
"Bullock, Alabama","Pike, Alabama"
"Bullock, Alabama","Russell, Alabama"
"Butler, Alabama","Butler, Alabama"
"Butler, Alabama","Conecuh, Alabama"
"Butler, Alabama","Covington, Alabama"
"Butler, Alabama","Crenshaw, Alabama"
"Butler, Alabama","Lowndes, Alabama"
"Butler, Alabama","Monroe, Alabama"
"Butler, Alabama","Wilcox, Alabama"
"Calhoun, Alabama","Calhoun, Alabama"
"Calhoun, Alabama","Cherokee, Alabama"
"Calhoun, Alabama","Cleburne, Alabama"
"Calhoun, Alabama","Etowah, Alabama"
"Calhoun, Alabama","St. Clair, Alabama"
"Calhoun, Alabama","Talladega, Alabama"
"Chambers, Alabama","Chambers, Alabama"
"Chambers, Alabama","Lee, Alabama"
"Chambers, Alabama","Randolph, Alabama"
"Chambers, Alabama","Tallapoosa, Alabama"
"Chambers, Alabama","Harris, Georgia"
"Chambers, Alabama","Troup, Georgia"
"Cherokee, Alabama","Calhoun, Alabama"
"Cherokee, Alabama","Cherokee, Alabama"
"Cherokee, Alabama","Cleburne, Alabama"
"Cherokee, Alabama","DeKalb, Alabama"
"Cherokee, Alabama","Etowah, Alabama"
"Cherokee, Alabama","Chattooga, Georgia"
"Cherokee, Alabama","Floyd, Georgia"
"Cherokee, Alabama","Polk, Georgia"
"Chilton, Alabama","Autauga, Alabama"
"Chilton, Alabama","Bibb, Alabama"
"Chilton, Alabama","Chilton, Alabama"
"Chilton, Alabama","Coosa, Alabama"
"Chilton, Alabama","Dallas, Alabama"
"Chilton, Alabama","Elmore, Alabama"
"Chilton, Alabama","Perry, Alabama"
"Chilton, Alabama","Shelby, Alabama"
"Choctaw, Alabama","Choctaw, Alabama"
"Choctaw, Alabama","Clarke, Alabama"
"Choctaw, Alabama","Marengo, Alabama"
"Choctaw, Alabama","Sumter, Alabama"
"Choctaw, Alabama","Washington, Alabama"
"Choctaw, Alabama","Clarke, Mississippi"
