FIPS,expected population,net migrants,migration rate
01001,46277,8280,235.8
01003,144772,37259,310.1
01005,30147,-2450,-107.29999999999997
01007,20354,2627,168.40000000000003
01009,52345,4871,105.3
01011,12198,-1129,-129.9
01013,21447,-441,-38.2
01015,113918,4700,54.0
01017,36358,-2048,-86.49999999999999
01019,23624,2256,107.6
01021,40809,2839,90.3
01023,16030,-2126,-167.6
01025,28637,-2719,-125.0
01027,14073,-159,-20.8
01029,14272,640,39.6
01031,45092,4926,149.39999999999995
01033,54817,-465,-17.3
01035,14113,-848,-93.9
01037,11670,-125,-20.000000000000004
01039,36945,736,9.8
01041,13471,423,43.5
01043,78029,2144,17.3
01045,52404,-2059,-56.90000000000001
01047,48259,-4081,-109.1
01049,67152,4002,74.99999999999999
01051,69848,9532,164.50000000000003
01053,39537,-1008,-35.4
01055,102599,1740,12.6
01057,18108,-914,-65.2
01059,31821,-78,-7.999999999999999
01061,25643,1086,49.8
01063,10260,-1136,-161.6
01065,18706,-2855,-222.8
01067,16130,1171,54.7
01069,92996,8694,114.09999999999998
01071,53846,-775,-37.79999999999999
01073,686002,-24258,-38.6
01075,15651,-1127,-112.9
01077,88044,4448,50.9
01079,35296,-950,-42.6
01081,122526,17961,287.1
01083,69002,13856,254.8
01085,14087,-2686,-237.6
01087,24185,-2535,-85.19999999999997
01089,292837,42720,193.2
01091,23072,-1950,-113.8
01093,30594,79,-22.8
01095,86197,6823,87.4
01097,420985,-6666,-26.40000000000001
01099,24859,-1718,-98.1
01101,238593,-7472,-31.7
01103,115362,4198,41.0
01105,12198,-1534,-169.60000000000005
01107,21039,-1240,-85.99999999999999
01109,30623,2368,133.59999999999997
01111,22275,623,12.4
01113,51211,1992,55.90000000000001
01115,67217,16272,304.1
01117,158259,36858,305.49999999999994
01119,15151,-1283,-125.1
01121,81849,642,5.9
01123,41563,70,-16.600000000000005
01125,173492,21621,215.4
01127,69980,-3155,-66.7
01129,18492,-871,-50.99999999999999
01131,13628,-1866,-167.6
01133,24565,-180,-36.6
02016,5784,-163,132.79999999999998
02050,19422,-2004,-98.5
02070,5539,-596,-101.0
02180,10834,-1131,-93.10000000000002
02261,10923,-1267,-68.1
02270,8834,-1180,-128.10000000000002
04001,77068,-4165,-50.90000000000001
04003,124339,7679,49.7
04005,129581,5950,75.5
04007,51388,2376,18.199999999999985
04009,36050,1559,64.9
04011,9097,-589,-31.7
04012,19755,804,-29.099999999999994
04013,3444859,395217,140.5
04015,153771,46274,294.3
04017,107593,1166,16.300000000000004
04019,897726,88567,98.4
04021,201928,176719,1197.6999999999996
04023,44312,3845,104.9
04025,165027,45626,280.00000000000006
04027,182113,16032,129.0
05001,20619,-1586,-96.8
05003,24629,-2747,-140.9
05005,35284,6002,167.5
05007,169041,52774,447.4
05009,34177,2577,83.7
05011,12680,-1119,-121.70000000000002
05013,5642,-280,-31.2
05015,25991,1416,34.099999999999994
05017,14418,-2532,-252.3
05019,23794,-795,52.19999999999998
05021,17017,-1011,-69.9
05023,23405,2437,123.4
05025,8694,-29,-18.0
05027,25808,-1194,-51.7
05029,20552,690,40.0
05031,86943,9512,149.1
05033,55548,6316,131.5
05035,55160,-3947,-88.7
05037,19777,-1911,-123.3
05039,9096,-955,-138.90000000000003
05041,15794,-2718,-210.2
05043,19340,-813,-52.3
05045,92762,20495,288.5
05047,17878,176,9.199999999999996
05049,11017,1156,124.2
05051,85956,9878,123.1
05053,16664,1119,87.3
05055,38621,3328,107.2
05057,24487,-1771,-103.0
05059,30507,2372,111.4
05061,14697,-880,-90.9
