"county","id","rank","education","income","unemployment","disability","life","obesity","popestimate2018"
"Autauga, Alabama",1001,1371,21.7,53773,6.5,1.6,76.1,38,55601
"Baldwin, Alabama",1003,657,27.7,50706,6.8,1,77.7,34,218022
"Barbour, Alabama",1005,2941,14.5,31889,11.2,2.9,74.7,47,24881
"Bibb, Alabama",1007,2803,9,36824,7.6,2.6,74.2,43,22400
"Blount, Alabama",1009,2000,12.4,45192,6.2,1.4,75.9,40,57840
"Bullock, Alabama",1011,3083,11.9,34500,13.4,3.8,71.8,49,10138
"Butler, Alabama",1013,2981,12.9,30752,10.9,3.2,73.8,45,19680
"Calhoun, Alabama",1015,2451,16,40093,7.6,2.4,73.3,40,114277
"Chambers, Alabama",1017,2967,11,32181,9.3,2.6,73.3,44,33615
"Cherokee, Alabama",1019,2584,13.1,36241,7.1,2.2,74.7,41,26032
"Chilton, Alabama",1021,2546,12.5,40834,6.5,2.1,73.9,43,44153
"Choctaw, Alabama",1023,2873,11.9,35123,9,3.3,75.1,46,12841
"Clarke, Alabama",1025,3011,12.7,30954,12.1,3.1,74.9,44,23920
"Clay, Alabama",1027,2914,8.8,34556,9.3,2.6,74.2,42,13275
"Cleburne, Alabama",1029,2564,9.5,37244,6.9,2.1,74.2,39,14987
"Coffee, Alabama",1031,1602,22.6,44626,6.2,1.5,76.3,39,51909
"Colbert, Alabama",1033,2398,18,40158,7.6,2.3,74.1,41,54762
"Conecuh, Alabama",1035,3088,9.7,27064,11.6,3.6,73.8,45,12277
"Coosa, Alabama",1037,2872,9.7,37425,8.2,2.7,73.9,45,10715
"Covington, Alabama",1039,2591,13.8,35321,7.5,2.1,74.9,41,36986
"Crenshaw, Alabama",1041,2739,11,37309,7.2,2.4,73.3,43,13824
"Cullman, Alabama",1043,2194,14.2,39244,6.4,1.7,75,39,83442
"Dale, Alabama",1045,2127,17.5,45247,7.3,2.1,75.7,42,48956
"Dallas, Alabama",1047,3094,13.3,26178,13.7,6.2,72,48,38310
"DeKalb, Alabama",1049,2643,9.9,36853,8.5,1.7,74.7,40,71385
"Elmore, Alabama",1051,1476,21.1,55514,6.8,1.7,75.7,38,81887
"Escambia, Alabama",1053,2849,12.2,31075,8.9,2.1,74.4,43,36748
"Etowah, Alabama",1055,2502,15.2,37660,7.2,2.7,72.8,39,102501
"Fayette, Alabama",1057,2881,11.6,33090,8,2.7,73.1,43,16433
"Franklin, Alabama",1059,2609,12.2,37235,8.2,1.9,72.8,39,31363
"Geneva, Alabama",1061,2717,10.9,33618,6.9,2.6,75.2,42,26314
"Greene, Alabama",1063,3101,11.6,23777,11.4,5.4,74,51,8233
"Hale, Alabama",1065,3066,11.7,29409,9.9,3.8,72.5,50,14726
"Henry, Alabama",1067,2374,15.8,40680,7.3,1.8,75.2,44,17209
"Houston, Alabama",1069,2046,19.3,41828,7,2.1,76.2,40,104722
"Jackson, Alabama",1071,2424,13.2,37059,7.1,1.7,73.5,39,51736
"Jefferson, Alabama",1073,1722,29.3,45415,6.8,2.5,74.8,39,659300
"Lamar, Alabama",1075,2664,10.2,35271,7.6,2.2,74.5,39,13844
"Lauderdale, Alabama",1077,1681,21.9,40701,6.7,1.7,75.8,37,92387
"Lawrence, Alabama",1079,2660,13,39526,8.1,2,74,43,32957
"Lee, Alabama",1081,1237,31.3,43189,6.3,1.4,77.5,38,163941
"Limestone, Alabama",1083,1397,21.9,48197,6.2,1.3,77.1,40,96174
"Lowndes, Alabama",1085,3072,14.2,28023,14.1,4.8,73.3,48,9974
"Macon, Alabama",1087,2818,19.5,27957,9.8,3.4,71.8,47,18439
"Madison, Alabama",1089,667,37.8,58242,6.2,1.2,77.3,36,366519
"Marengo, Alabama",1091,2813,17.7,34515,9.4,4.5,73.6,46,19066
"Marion, Alabama",1093,2824,8.7,31970,9.1,2.1,73.4,39,29763
"Marshall, Alabama",1095,2202,15.3,38649,7,1.6,74.1,38,96109
"Mobile, Alabama",1097,2216,20.3,42973,8.4,2.2,74.8,40,413757
"Monroe, Alabama",1099,3035,9.9,30996,12.3,2.7,74.3,44,21067
"Montgomery, Alabama",1101,1910,30.9,44401,7.7,2.7,75.7,41,225763
